order_id,customer_name,region,product_id,product_name,unit_price,quantity,order_date
ORD000000,Allison Hill,South,P002,Mechanical Keyboard,89.99,1,2026-05-06
ORD000001,Megan Mcclain,North,P002,Mechanical Keyboard,89.99,5,2026-04-23
ORD000001,Allen Robinson,West,P004,27in Monitor,249.0,5,2026-05-31
ORD000003,Cristian Santos,South,P003,USB-C Hub,34.5,4,2026-06-04
ORD000004,Kevin Pacheco,East,P007,Noise Cancelling Headphones,199.99,1,2026-04-16
ORD000005,Melissa Peterson,East,P002,Mechanical Keyboard,89.99,4,2026-04-29
ORD000006,Gabrielle Davis,South,P004,27in Monitor,249.0,1,2026-04-24
ORD000007,Lindsey Roman,East,P002,Mechanical Keyboard,89.99,4,2026-06-20
ORD000008,Valerie Gray,Central,P002,Mechanical Keyboard,89.99,5,2026-06-04
ORD000009,Lisa Hensley,North,P004,27in Monitor,249.0,3,2026-06-06
ORD000010,Amber Perez,Central,P005,Webcam HD,59.99,1,2026-05-12
ORD000011,David Garcia,South,P007,Noise Cancelling Headphones,199.99,4,2026-05-11
ORD000012,Holly Wood,South,P007,Noise Cancelling Headphones,199.99,5,2026-05-04
ORD000013,Timothy Wong,South,P001,Wireless Mouse,19.99,1,2026-06-09
ORD000014,Nicholas Martin,Central,P007,Noise Cancelling Headphones,199.99,5,2026-05-20
ORD000015,Margaret Hawkins DDS,East,P002,Mechanical Keyboard,89.99,5,2026-06-30
ORD000016,Crystal Johnson,Central,P005,Webcam HD,59.99,5,2026-05-14
ORD000017,Daniel Hahn,South,P004,27in Monitor,249.0,2,2026-07-03
ORD000018,Matthew Foster,North,P001,Wireless Mouse,19.99,5,2026-07-07
ORD000019,Derek Wright,Central,P005,Webcam HD,59.99,2,2026-06-05
ORD000020,Kevin Hurst,South,P002,Mechanical Keyboard,89.99,5,2026-05-21
ORD000021,Zachary Hicks,South,P007,Noise Cancelling Headphones,199.99,2,2026-04-24
ORD000022,Brian Burton,West,P006,Laptop Stand,45.0,4,2026-06-26
ORD000023,Arthur James,North,P004,27in Monitor,249.0,5,2026-07-14
ORD000024,Tricia Valencia,South,P001,Wireless Mouse,19.99,3,2026-04-17
ORD000025,Melanie Herrera,West,P008,Desk Lamp,24.99,2,2026-05-10
ORD000026,Ashley Graham,North,P007,Noise Cancelling Headphones,199.99,4,2026-05-26
ORD000027,Sherri Baker,North,P007,Noise Cancelling Headphones,199.99,3,2026-05-31
ORD000028,Thomas Harrell,South,P007,Noise Cancelling Headphones,199.99,2,2026-05-12
ORD000029,Lisa Hernandez,Central,P002,Mechanical Keyboard,89.99,1,2026-06-23
ORD000030,Paula Moreno,West,P004,27in Monitor,249.0,2,2026-04-16
ORD000031,Alec Hickman,East,P007,Noise Cancelling Headphones,199.99,1,2026-07-04
ORD000032,Elizabeth Brown,South,P008,Desk Lamp,24.99,2,2026-07-04
ORD000033,Angelica Tucker,West,P006,Laptop Stand,45.0,1,2026-04-22
ORD000034,Pamela Anderson,North,P002,Mechanical Keyboard,89.99,2,2026-05-28
ORD000035,Deborah Brennan,Central,P004,27in Monitor,249.0,5,2026-05-24
ORD000036,Joshua Blair,East,P006,Laptop Stand,45.0,3,2026-05-04
ORD000037,Zachary Santos,,P005,Webcam HD,59.99,4,2026-05-25
ORD000038,Barbara Walker,Central,P002,Mechanical Keyboard,89.99,1,2026-05-16
ORD000039,Crystal Robinson,West,P004,27in Monitor,249.0,3,2026-04-22
ORD000040,Crystal Whitehead,North,P001,Wireless Mouse,19.99,5,2026-07-02
ORD000041,David Caldwell,East,P002,Mechanical Keyboard,89.99,5,2026-05-05
ORD000042,Timothy Duncan,North,P005,Webcam HD,59.99,5,2026-05-28
ORD000043,Rhonda Lee,East,P001,Wireless Mouse,19.99,3,2026-04-24
ORD000044,Jeff Owens,South,P001,Wireless Mouse,19.99,1,2026-06-20
ORD000045,Victoria Garcia,East,P003,USB-C Hub,34.5,4,2026-05-22
ORD000046,Scott Wright,South,P001,Wireless Mouse,19.99,3,2026-05-03
ORD000047,Javier Ramirez,South,P007,Noise Cancelling Headphones,199.99,5,2026-05-08
ORD000048,Jessica Callahan,East,P007,Noise Cancelling Headphones,199.99,1,2026-06-04
ORD000049,Zachary Huff,North,P004,27in Monitor,249.0,3,2026-07-12
ORD000050,Sarah Martin,South,P004,27in Monitor,249.0,4,2026-05-29
ORD000051,James Brown,East,P005,Webcam HD,59.99,1,2026-05-20
ORD000052,Mrs. Rachel Gibson,East,P006,Laptop Stand,45.0,1,2026-05-24
ORD000053,Whitney Peters,East,P002,Mechanical Keyboard,89.99,5,2026-06-19
ORD000054,Edward Novak,,P004,27in Monitor,249.0,3,2026-06-07
ORD000055,Nicole Brown,East,P004,27in Monitor,249.0,3,2026-06-07
ORD000056,Sarah Moore,West,P005,Webcam HD,59.99,5,2026-07-11
ORD000057,Cody Larson,West,P004,27in Monitor,249.0,4,2026-06-15
ORD000058,Bryan Zamora,North,P005,Webcam HD,59.99,4,2026-05-08
ORD000059,Lisa Barnes,South,P006,Laptop Stand,45.0,4,2026-06-07
